X1,X2,X3,X4,X5,T,Y
1.031545669451031655e+00,1.048960937464726761e+01,6.024766577518601007e-01,4.322660014492150649e-01,0.000000000000000000e+00,5.285827187690741447e+00,-2.998366766293493746e-01
1.030557852233066951e+00,1.003803770861400402e+01,6.032254352042912826e-01,7.441102311662166346e-03,0.000000000000000000e+00,2.882006209025833599e+00,1.500652077674036189e+00
5.705078427147262099e-01,1.176085304812641041e+01,5.906961764941390802e-01,8.412256434402970440e-01,1.000000000000000000e+00,1.388415105393994331e+01,-1.625152275078217246e+00
7.749881638233121484e-01,9.381968068043361697e+00,5.810630090241309942e-01,1.028359901052107311e-01,1.000000000000000000e+00,1.475453615180790656e+01,3.346242677484627226e+00
7.790102820965103536e-01,1.076162714516300944e+01,5.738103222007681081e-01,1.048415632388767298e-04,1.000000000000000000e+00,1.610445616103189082e+01,-9.635434674727321180e-01
8.014871958026721366e-01,1.040103782983207381e+01,5.862389420281381991e-01,9.684156741753727760e-01,0.000000000000000000e+00,1.196702806843844513e+01,5.629705407768612752e-02
2.319537140715361545e+00,9.947743374358873680e+00,6.154091136258736938e-01,1.765797587145938152e+00,0.000000000000000000e+00,1.805224100525255793e+01,2.666239360279511139e+00
6.757559474835069802e-01,1.139803369411852785e+01,6.301320146504164610e-01,1.766295944302653576e+00,0.000000000000000000e+00,2.054816579760159101e+01,-1.655036984554397517e+00
6.730600416419356691e-01,1.176955543011535887e+01,5.402555464781103600e-01,1.093347134928701170e+00,1.000000000000000000e+00,1.460563070584148448e+01,-1.790697945581099182e+00
6.193756087082743500e-01,1.041709056378296694e+01,6.166461040117671155e-01,3.771315307810377271e-01,0.000000000000000000e+00,1.129866427728114431e+01,2.899912059894409477e-01
1.307352660823662971e+00,1.018818607114540420e+01,5.887534525733180146e-01,7.623639258770998905e-01,0.000000000000000000e+00,4.228038245380784765e+00,7.242774803252461924e-01
6.335428747095885882e-01,1.081567715046280398e+01,5.506804309450341606e-01,2.424798100620582375e-01,0.000000000000000000e+00,8.210405216347815838e+00,-5.140852255815752114e-01
7.451875828106816479e-01,1.044597724121474691e+01,5.886592990097082589e-01,4.681986085214944193e-01,1.000000000000000000e+00,1.243837977928701655e+01,-3.693166236119430068e-02
1.209592649573310252e+00,1.121763278442607081e+01,5.854634640545728352e-01,4.328613294917512122e-01,0.000000000000000000e+00,2.721690920389810131e+01,-1.226737756605730478e+00
