X1,X2,X3,X4,X5,T,Y
5.035095381164802486e-01,1.055432236521012790e+01,6.715279894734429433e-01,1.244220347124289194e+00,0.000000000000000000e+00,3.473299450262838040e+00,2.619216295858735055e-01
3.650161857299433765e-01,1.200263121403710898e+01,7.377482893377668161e-01,4.115465994680650996e-01,0.000000000000000000e+00,1.634583403691954828e+01,-6.520483279839364155e-01
6.815333812256633150e-01,1.009621534114255859e+01,5.989856987725912241e-01,2.227549516569031149e-02,0.000000000000000000e+00,7.977503191078008093e+00,1.200491953007988055e+00
4.871322514756024069e-01,1.095544984656889653e+01,6.950721771984839092e-01,2.135181054591176686e+00,0.000000000000000000e+00,4.226629562072498203e+01,-3.247943063336371505e+00
9.777288017006854348e-01,1.017766940484438543e+01,5.990301888138728215e-01,4.780008112557426081e+00,0.000000000000000000e+00,4.184717121280058905e+00,9.020002084721590041e-01
1.293801656503752229e+00,1.057653585194031187e+01,5.919093433960245232e-01,2.156429772595684913e-01,0.000000000000000000e+00,5.167955084402891863e+00,-1.101027522630193989e+00
7.170815366348113340e-01,1.089566337838867405e+01,6.050897740282292769e-01,6.858726622149999841e+00,1.000000000000000000e+00,1.838784948016887455e+01,-1.239916106540095653e+00
2.498169005876751947e-01,1.189689844506896499e+01,5.843638595314722961e-01,3.273521035420309255e-01,1.000000000000000000e+00,1.401035945029650875e+01,2.791299327718054224e-01
3.306323331157773326e-01,9.250247926474017390e+00,7.205774127134455531e-01,1.499010119624434534e+00,0.000000000000000000e+00,2.869414444157991895e+01,3.870248800664179978e+00
8.149560663310349007e-01,1.171154328140542589e+01,6.076405536001938668e-01,8.254503208954527133e-03,1.000000000000000000e+00,2.650931704391443233e+01,-1.448371882606141803e+00
1.585374724415635761e+00,1.020795422725392321e+01,5.629148237369421270e-01,4.490638342300709018e-01,1.000000000000000000e+00,1.796299198102055072e+01,-1.515975845281262724e-01
7.809002463494973956e-01,1.121345149675289399e+01,5.700965758148467399e-01,3.071010709190081567e+00,0.000000000000000000e+00,9.768172125930471239e+00,-1.568022810895826069e+00
7.557964353334161167e-01,1.067338245895424720e+01,5.943350627519502494e-01,8.763887942528634234e-01,1.000000000000000000e+00,2.078108010850057141e+01,-1.192672053642583663e+00
1.568356200076060913e+00,1.046528808678682942e+01,6.379319697736994810e-01,4.698831354535950022e-01,1.000000000000000000e+00,2.600932147614833667e+01,-1.582120797339072737e+00
9.800902760271640313e-01,1.001349076538510019e+01,5.999212916976441878e-01,1.453914564943992183e-01,0.000000000000000000e+00,6.915696956543366802e-01,1.580809080430950919e+00
9.805640579163924508e-01,1.102316752924584087e+01,5.997810869970929826e-01,4.718818681730719611e+00,1.000000000000000000e+00,2.062349175386831135e+01,-1.817884265830074453e+00
7.014706889500630371e-01,1.053186651675211749e+01,6.493795485950519808e-01,9.196451914496139857e-02,1.000000000000000000e+00,2.968331173057814709e+01,-1.979582405465211803e+00
1.248908887424651448e+00,1.057009515487660067e+01,6.278887965920669778e-01,1.982861609339071074e-01,1.000000000000000000e+00,1.587067761650380504e+01,-1.102104518218994134e+00
1.509299980723307399e+00,1.047742619691153543e+01,6.341164193503943114e-01,3.559521989609922610e+00,1.000000000000000000e+00,1.034492176268095243e+01,-8.981968363161623170e-01
5.817074050619135406e-01,1.109321673753624360e+01,5.832660118818800976e-01,2.611651115987464414e-03,0.000000000000000000e+00,1.274423278015548711e+01,-8.907309106293684886e-01
1.028706214354452531e+00,9.694960047511042234e+00,5.985177223677272673e-01,4.074474973795145887e-03,0.000000000000000000e+00,9.432010884333791978e+00,2.719584872672779596e+00
9.768298327865558850e-01,1.041580882208033110e+01,6.014312648503723491e-01,2.575232936935134293e-03,0.000000000000000000e+00,1.075337768444817321e+01,-1.698371875450824242e-01
5.465818167715845721e-01,1.141554896777707917e+01,6.262150449837673438e-01,2.485860412324799373e+00,1.000000000000000000e+00,1.142382952119817219e+01,-1.306153896039629725e+00
4.945135474260141661e-01,1.012753031594582431e+01,5.965323738343500937e-01,1.868757350302968079e-01,0.000000000000000000e+00,3.011100578416756335e+01,-3.409164897612836920e-01
8.392137525625861239e-01,1.067971472440581060e+01,5.916858983724684329e-01,1.809046827699962723e-01,1.000000000000000000e+00,2.965449666979936794e+01,-2.365465555528011965e+00
6.594416964426946803e-01,1.242841936161030247e+01,6.037820741120155654e-01,3.875062083507102795e+00,0.000000000000000000e+00,1.781348180659324854e+01,-1.308575106149193035e+00
7.357180970675852860e-01,9.783042283556522278e+00,5.950918203660394701e-01,3.587752776893317619e-01,0.000000000000000000e+00,9.350658962913708905e+00,2.114932371020669333e+00
8.933383681509953211e-01,1.111054680427458585e+01,5.988411015882937338e-01,1.012806328805303968e+00,0.000000000000000000e+00,2.845394325984695172e+01,-2.315299355792540315e+00
1.147420364664381909e+00,1.110610986587840188e+01,6.112671761835292150e-01,7.234688174590079290e-01,0.000000000000000000e+00,2.458548179000333889e+01,-1.718229937861792456e+00
2.104097981512670079e-01,1.190670616201122378e+01,4.008244939230241055e-01,1.685722393706019728e+00,0.000000000000000000e+00,2.282057545651942831e+01,2.403109855515420001e+00
9.785272963751528996e-01,1.073259160020473502e+01,6.027758146307859999e-01,5.468958827648361630e-03,1.000000000000000000e+00,1.352822373835074998e+01,-1.135629026449664236e+00
6.253076089666438353e-01,1.161399540848746881e+01,6.277101838612157980e-01,7.307152193303733615e-04,1.000000000000000000e+00,2.218296032212080959e+01,-1.626117447777574165e+00
