X1,X2,X3,X4,X5,T,Y
4.378465711870426214e-01,1.146699063720049594e+01,5.962401752530500643e-01,2.186802355441896592e-02,0.000000000000000000e+00,1.942327131274575791e+01,-7.330562070020347765e-01
1.893092891240996334e+00,9.961058867206494583e+00,5.643469846277523461e-01,8.557843833531077193e-02,0.000000000000000000e+00,1.278393964354445878e+01,2.101152378872767290e+00
7.701323803876330976e-01,1.078881719854240551e+01,6.173549169402574588e-01,1.040518431836627844e+00,1.000000000000000000e+00,1.754111588663687726e+01,-1.153234542539858687e+00
5.961058504326945950e-01,1.010990647036527257e+01,5.882922394438350189e-01,1.457056227392399039e+00,1.000000000000000000e+00,2.073665083403393794e+01,4.327482398607008229e-01
5.910456484516605213e-01,1.052706988126326948e+01,5.787667199891499692e-01,4.940475198091564407e-02,1.000000000000000000e+00,8.811668878830623441e+00,2.153006486309079204e-01
5.548816489041249467e-01,1.111293303539777533e+01,6.707863742320445688e-01,3.578496572333887960e-01,0.000000000000000000e+00,1.814873246496624404e+01,-1.001583111476785914e+00
8.508975480812865921e-01,1.061348980034616396e+01,6.056180088209907053e-01,5.533013125197425164e-02,1.000000000000000000e+00,1.208639395209775458e+01,-6.010417757165158470e-01
1.319567264566164910e+00,1.088479595395552835e+01,5.893516971028911478e-01,3.111165649868337726e-02,1.000000000000000000e+00,2.588146525845169776e+01,-1.670202892231207770e+00
5.992185018334462709e-01,1.070793272671319230e+01,5.754754816271138163e-01,1.402554187521546147e+00,0.000000000000000000e+00,1.527311749361409454e+01,-4.520309189497986879e-01
6.163860652084428571e-01,1.109630325293545283e+01,6.720906806094452124e-01,4.097285961557432105e-02,1.000000000000000000e+00,8.250190046432278379e+00,-1.082591150527858925e+00
1.043166526708996011e+00,1.097146802573013424e+01,6.003897769962467379e-01,1.178682338194203018e-02,1.000000000000000000e+00,3.727272762944514373e+00,-1.908009922457365004e+00
7.981579755946687227e-01,8.917424726037614491e+00,6.223534521500563299e-01,1.144142620735129519e-02,0.000000000000000000e+00,2.507829943508057013e+01,5.027522908726127504e+00
1.442371960998255043e+00,9.968139379625020169e+00,6.286748498879669578e-01,2.022354968166990563e+00,0.000000000000000000e+00,1.754807275196428407e+01,1.278292869406656873e+00
3.658291407548306950e-01,1.124591294610487502e+01,6.333383268626971985e-01,1.409127145782247181e+00,1.000000000000000000e+00,3.054322300065661011e+01,-3.246246823200577558e-01
1.345509587265695028e+00,1.072829085342743838e+01,6.046654671292923666e-01,5.105854207901008301e-01,0.000000000000000000e+00,1.345981366391333900e+01,-1.532671989803978674e+00
7.549191068293366058e-01,1.035047365511146289e+01,6.044308271034407598e-01,2.179507771859685583e+00,0.000000000000000000e+00,1.275175243218805576e+01,1.729918637419050886e-01
6.367539021293016077e-01,1.258393644747080664e+01,5.690691816892754495e-01,1.685265879600048380e-02,0.000000000000000000e+00,5.012866032444730280e+01,1.317668912170409268e+00
2.947102915724437167e-01,1.088917973470610434e+01,4.714916547428200655e-01,5.524774116384538747e-01,1.000000000000000000e+00,1.325644468320219893e+01,8.872150892040920889e-01
8.628773899959798488e-01,1.064343999926255080e+01,6.048463150194223203e-01,6.364044133696971084e-01,1.000000000000000000e+00,1.229678037185217931e+01,-7.096583702644384539e-01
8.806537242498893026e-01,1.005620964955800112e+01,6.126996171171563699e-01,8.498591642339623498e-01,0.000000000000000000e+00,3.508351866290354781e+00,1.357985244620623755e+00
1.355970762504739024e+00,1.061975070061490101e+01,5.947348226786083325e-01,1.317860066681082243e+00,1.000000000000000000e+00,1.015364552713348445e+01,-1.231330209316882529e+00
1.449662251323283302e+00,1.044283565789771551e+01,6.002082184773679385e-01,4.419466734069621983e-01,1.000000000000000000e+00,2.374351514549257658e+01,-1.475586330246387856e+00
5.880761160139263977e-01,1.028520404168190794e+01,6.673864384722925092e-01,7.479690261694267317e-01,1.000000000000000000e+00,5.313140176414802518e+00,7.664675691944657920e-01
2.240813286355203715e+00,1.039952886215023398e+01,6.759781406423691630e-01,1.385921842420642536e+00,1.000000000000000000e+00,3.646497558448810139e+01,-5.138207144342046284e-01
5.028878694320165765e-01,1.013503896796808590e+01,6.241213681306413408e-01,6.247189393268807178e-01,0.000000000000000000e+00,1.656933500920467495e+01,9.810687340379977694e-01
8.374083378620741369e-01,1.160181654387873884e+01,6.156064794913272964e-01,1.060402702850081536e+00,0.000000000000000000e+00,1.568511630749144103e+01,-1.943571209080281470e+00
4.513332803440048280e-01,1.155486533678842420e+01,6.806036829515959008e-01,5.349370857900076492e-01,1.000000000000000000e+00,3.566680302754763687e+01,-1.628311322771098801e+00
2.876295023614975910e-01,1.098944619363647668e+01,5.171407452168215180e-01,2.268669891576720055e+00,0.000000000000000000e+00,1.694417153125941766e+01,1.053673810449385906e+00
5.680881879656852762e-01,1.080964393732917905e+01,6.000454308967223538e-01,2.916671227838739888e+00,0.000000000000000000e+00,3.365476859348393468e+00,-4.022260002589020389e-01
7.989879072542519500e-01,1.024916653037370651e+01,6.202341971310814106e-01,3.923983604268386216e-01,0.000000000000000000e+00,4.589666299618379242e+00,7.776748626340392878e-01
1.194856912933894622e+00,1.005462049096050769e+01,6.044061370746263151e-01,1.775582718340133481e-01,1.000000000000000000e+00,1.954695157085732404e+01,3.694426562646833112e-01
5.060934152237949180e-01,1.116268154466483509e+01,6.520117429853822255e-01,2.436978193701473838e+00,0.000000000000000000e+00,3.297782065196088297e+01,-1.959602225000820486e+00
8.722006272755858935e-01,1.035750166145280105e+01,6.000898419530780181e-01,1.767618397947898490e-01,0.000000000000000000e+00,4.968755752239821355e+00,3.543313443360960879e-01
1.005263396297253697e+00,9.439651704945601907e+00,5.997177453716635576e-01,2.400623652871925265e-02,0.000000000000000000e+00,1.213470854490049788e+01,3.817937019319552761e+00
7.120409926682732538e-01,1.157113756643733460e+01,6.002373472215355443e-01,4.304755750411822790e-01,0.000000000000000000e+00,1.054730719550117257e+01,-2.003845282672192862e+00
6.988547364919470706e-01,1.039918361408144598e+01,6.034459955466177083e-01,8.962883331692514943e+00,0.000000000000000000e+00,1.737324053870232277e+01,-1.838477451796259876e-01
3.464363389864944520e-01,1.062163076399065353e+01,6.848242283541945419e-01,1.205609909922033540e-01,0.000000000000000000e+00,1.945157274616060050e+01,8.821952398400398909e-01
9.096399203584530913e-01,1.072015307801100015e+01,6.131703798277936546e-01,1.157992708474271160e+00,0.000000000000000000e+00,1.320320902230740678e+01,-1.030619780305379818e+00
5.160303704073890829e-01,1.064406774840571401e+01,6.082440450043689051e-01,2.143827764087472276e-01,0.000000000000000000e+00,1.650300680159893219e+01,-1.101158313621832668e-01
4.769470983283967680e-01,1.192494701065253970e+01,6.327580308913575147e-01,2.516912537819694151e+00,1.000000000000000000e+00,3.578231797639434575e+01,-1.247340087843481049e+00
1.217291794306548658e+00,1.058484918444919032e+01,5.727280559734033716e-01,1.255417445430430934e-01,1.000000000000000000e+00,1.163045697980412285e+01,-1.060177085516001982e+00
1.406246999151266941e+00,1.038231427722076994e+01,6.123771526665473530e-01,1.545791582482782589e+00,0.000000000000000000e+00,2.084390592848290069e+01,-1.056071667016740712e+00
5.575528540334063754e-01,1.126069541606837632e+01,6.493178150389338210e-01,5.091390236902832989e-01,1.000000000000000000e+00,1.796241580733307686e+01,-1.174865751336937825e+00
3.142477005264089351e-01,1.096684485958162014e+01,4.108250937997318664e-01,1.950105322622255541e-02,0.000000000000000000e+00,2.036399810334373228e+01,8.639879387975624159e-01
1.590469966871753460e+00,9.661278272032392422e+00,6.827869505214518853e-01,1.566511276382439144e+00,0.000000000000000000e+00,1.836225002360955116e+01,4.128392180840652514e+00
1.105268756183184653e+00,9.910330347095921866e+00,5.955996953324558252e-01,7.899033115478895084e-01,1.000000000000000000e+00,1.264979169810095172e+01,1.620429730815684533e+00
5.232155440174242056e-01,1.160646238232773797e+01,6.730979545008791698e-01,7.076303318530364761e-01,0.000000000000000000e+00,2.797409888081632445e+01,-1.477148229362185816e+00
6.888263960354767956e-01,1.123752555166883127e+01,5.477010948055288653e-01,7.020518758301957929e-01,1.000000000000000000e+00,4.131493665415997896e+01,-3.833805820630541206e+00
1.102679979065589677e+00,1.033112277679349233e+01,6.000220136935491277e-01,1.754319151700649004e-01,0.000000000000000000e+00,9.426583579452133321e+00,9.327318957069331840e-02
1.543312964668738907e+00,1.056625440977876984e+01,6.355352045130190364e-01,1.648919622324648282e-01,1.000000000000000000e+00,1.231252267225271169e+01,-1.262852141840669296e+00
6.502924193500523309e-01,1.125516782835030050e+01,6.587991329290694420e-01,1.229266650110978798e+00,0.000000000000000000e+00,2.478372685190859670e+01,-1.823477769553043748e+00
6.922506949142359645e-01,1.073826761412107800e+01,6.222685317602516530e-01,2.536010343032003567e-01,0.000000000000000000e+00,1.479831248645814945e+01,-7.118143781155297223e-01
6.677495142754359403e-01,9.712848083179062897e+00,6.594447325852690334e-01,1.009664942893797601e+00,0.000000000000000000e+00,1.117924109111406317e+01,2.195711532860204152e+00
6.483129353635551650e-01,9.730605043475692995e+00,6.031591770191139235e-01,6.349990228716627903e-03,0.000000000000000000e+00,7.644800547748777042e+00,2.323125896771049526e+00
9.584271042965363252e-01,1.063515158452166709e+01,5.968732702848906779e-01,1.401021687378783687e-01,0.000000000000000000e+00,1.147914688220775581e+01,-7.682204779879984180e-01
